region_name,brand_name,buy_price,sell_price,spread,capture_timestamp
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 10:58:21
Cà Mau,SJC,150900,152900,2000,2025-11-25 10:58:21
Hà Nội,PNJ,150900,152900,2000,2025-11-25 10:58:21
Hà Nội,DOJI,150900,152900,2000,2025-11-25 10:58:21
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 10:58:21
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:58:21
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 10:58:21
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 10:58:21
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 10:58:21
Miền Tây,PNJ,150900,152900,2000,2025-11-25 10:58:21
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 10:58:21
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 10:58:21
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:58:21
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 10:58:21
Bến Tre,Mi Hồng,151000,152900,1900,2025-11-25 10:58:21
Tiền Giang,Mi Hồng,151000,152900,1900,2025-11-25 10:58:21
Mỹ Tho,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Vĩnh Long,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Long Xuyên,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Cần Thơ,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Sa Đéc,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Trà Vinh,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Tân An,Ngọc Thẩm,150900,152900,2000,2025-11-25 10:58:21
Cập nhật lúc 17:55:22 25/11/2025 https://giavang.org/,Cập nhật lúc 17:55:22 25/11/2025 https://giavang.org/,17552225112025,17552225112025,0,2025-11-25 10:58:21
TP. Hồ Chí Minh,SJC,150900,152900,2000,2025-11-25 11:02:08
TP. Hồ Chí Minh,PNJ,150900,152900,2000,2025-11-25 11:02:08
TP. Hồ Chí Minh,DOJI,150900,152900,2000,2025-11-25 11:02:08
TP. Hồ Chí Minh,Mi Hồng,151000,152900,1900,2025-11-25 11:02:08
TP. Hồ Chí Minh,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Miền Bắc,SJC,150900,152900,2000,2025-11-25 11:02:08
Hạ Long,SJC,150900,152900,2000,2025-11-25 11:02:08
Hải Phòng,SJC,150900,152900,2000,2025-11-25 11:02:08
Miền Trung,SJC,150900,152900,2000,2025-11-25 11:02:08
Huế,SJC,150900,152900,2000,2025-11-25 11:02:08
Quảng Ngãi,SJC,150900,152900,2000,2025-11-25 11:02:08
Nha Trang,SJC,150900,152900,2000,2025-11-25 11:02:08
Biên Hòa,SJC,150900,152900,2000,2025-11-25 11:02:08
Miền Tây,SJC,150900,152900,2000,2025-11-25 11:02:08
Miền Tây,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Bạc Liêu,SJC,150900,152900,2000,2025-11-25 11:02:08
Cà Mau,SJC,150900,152900,2000,2025-11-25 11:02:08
Hà Nội,PNJ,150900,152900,2000,2025-11-25 11:02:08
Hà Nội,DOJI,150900,152900,2000,2025-11-25 11:02:08
Hà Nội,Bảo Tín Minh Châu,151400,152900,1500,2025-11-25 11:02:08
Hà Nội,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 11:02:08
Hà Nội,Phú Quý,150400,152900,2500,2025-11-25 11:02:08
Đà Nẵng,PNJ,150900,152900,2000,2025-11-25 11:02:08
Đà Nẵng,DOJI,150900,152900,2000,2025-11-25 11:02:08
Miền Tây,PNJ,150900,152900,2000,2025-11-25 11:02:08
Tây Nguyên,PNJ,150900,152900,2000,2025-11-25 11:02:08
Đông Nam Bộ,PNJ,150900,152900,2000,2025-11-25 11:02:08
Đông Nam Bộ,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Bắc Ninh,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 11:02:08
Hải Dương,Bảo Tín Mạnh Hải,151500,152900,1400,2025-11-25 11:02:08
Bến Tre,Mi Hồng,151000,152900,1900,2025-11-25 11:02:08
Tiền Giang,Mi Hồng,151000,152900,1900,2025-11-25 11:02:08
Mỹ Tho,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Vĩnh Long,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Long Xuyên,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Cần Thơ,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Sa Đéc,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Trà Vinh,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Tân An,Ngọc Thẩm,150900,152900,2000,2025-11-25 11:02:08
Cập nhật lúc 18:00:23 25/11/2025 https://giavang.org/,Cập nhật lúc 18:00:23 25/11/2025 https://giavang.org/,18002325112025,18002325112025,0,2025-11-25 11:02:08
